com.snorelab.app,/home/toshiba/Downloads/apk/SnoreLab _ Record Your Snoring_2.17.9_Apkpure.apk
com.strava,"/home/toshiba/Downloads/apk/Strava_ Run, Bike, Hike_310.7_Apkpure.apk"
com.medscape.android,/home/toshiba/Downloads/apk/Medscape_11.5.2_Apkpure.apk
com.accuweather.android,/home/toshiba/Downloads/apk/AccuWeather_ Weather Radar_8.11.0-24-google_Apkpure.apk
